Index,CrackID,Depth_mm,Depth_in,Probe,VtgCts,Note
1,11,0.33,0.013,A,1052,
2,30,1.4,0.055,A,4095,
3,42,0.38,0.015,A,1480,
4,2,0.25,0.01,A,723,
5,21,0.74,0.029,A,4095,
6,13,0.48,0.019,A,2621,
7,19,0.3,0.012,A,377,
8,26,0.23,0.009,A,223,
9,15,0.56,0.022,A,1654,
10,29,1.65,0.065,A,4095,
11,33,0.08,0.003,A,250,Below a_dec
12,25,0.25,0.01,A,669,
13,32,0.18,0.007,A,374,
14,34,0.03,0.001,A,250,Below a_dec
15,39,0.18,0.007,A,409,
16,12,0.28,0.011,A,895,
17,38,0.2,0.008,A,374,
18,20,0.79,0.031,A,4095,Saturated
19,28,0.23,0.009,A,638,
20,27,0.15,0.006,A,533,
21,1,0.08,0.003,A,150,
22,35,0.28,0.011,A,749,
23,40,0.2,0.008,A,433,
24,31,0.36,0.014,A,879,
25,3,0.23,0.009,A,286,
26,7,0.23,0.009,A,298,
27,16,0.41,0.016,A,1171,
28,37,2.54,0.1,A,4095,Saturated
29,11,0.33,0.013,B,884,
30,30,1.4,0.055,B,4095,
31,42,0.38,0.015,B,1182,
32,2,0.25,0.01,B,624,
33,21,0.74,0.029,B,4095,
34,13,0.48,0.019,B,2401,
35,19,0.3,0.012,B,809,
36,26,0.23,0.009,B,205,
37,15,0.56,0.022,B,3319,
38,29,1.65,0.065,B,4095,
39,33,0.08,0.003,B,250,Below a_dec
40,25,0.25,0.01,B,565,
41,32,0.18,0.007,B,379,
42,34,0.03,0.001,B,250,Below a_dec
43,39,0.18,0.007,B,387,
44,12,0.28,0.011,B,690,
45,38,0.2,0.008,B,301,
46,20,0.79,0.031,B,4095,Saturated
47,28,0.23,0.009,B,454,
48,27,0.15,0.006,B,385,
49,1,0.08,0.003,B,136,
50,35,0.28,0.011,B,660,
51,40,0.2,0.008,B,378,
52,31,0.36,0.014,B,888,
53,3,0.23,0.009,B,211,
54,7,0.23,0.009,B,163,
55,16,0.41,0.016,B,1110,
56,37,2.54,0.1,B,4095,Saturated
57,11,0.33,0.013,C,1282,
58,30,1.4,0.055,C,3831,
59,42,0.38,0.015,C,1699,
60,2,0.25,0.01,C,840,
61,21,0.74,0.029,C,2249,
62,13,0.48,0.019,C,1101,
63,19,0.3,0.012,C,350,
64,26,0.23,0.009,C,277,
65,15,0.56,0.022,C,1289,
66,29,1.65,0.065,C,2648,
67,33,0.08,0.003,C,250,Below a_dec
68,25,0.25,0.01,C,824,
69,32,0.18,0.007,C,407,
70,34,0.03,0.001,C,250,Below a_dec
71,39,0.18,0.007,C,586,
72,12,0.28,0.011,C,677,
73,38,0.2,0.008,C,549,
74,20,0.79,0.031,C,1778,
75,28,0.23,0.009,C,782,
76,27,0.15,0.006,C,631,
77,1,0.08,0.003,C,135,
78,35,0.28,0.011,C,989,
79,40,0.2,0.008,C,591,
80,31,0.36,0.014,C,1402,
81,3,0.23,0.009,C,352,
82,7,0.23,0.009,C,215,
83,16,0.41,0.016,C,1628,
84,37,2.54,0.1,C,4095,Saturated
