Index,x,y
1,0.016460089,1
2,0.082571725,1
3,0.113073447,1
4,0.115542911,1
5,0.135875727,1
6,0.159870843,1
7,0.182311916,0
8,0.183517005,1
9,0.237533756,1
10,0.243232522,1
11,0.272316538,0
12,0.272350084,1
13,0.274134526,1
14,0.366600285,1
15,0.391117265,0
16,0.417485073,0
17,0.435448891,1
18,0.456701776,0
19,0.464136244,1
20,0.470146907,0
21,0.480009817,0
22,0.494475167,0
23,0.536734825,1
24,0.61474671,1
25,0.620430636,1
26,0.639647982,1
27,0.659078051,1
28,0.744413614,1
29,0.859641009,1
30,0.932122487,1
