Index,x,y
1,0.020613095,0
2,0.044145967,0
3,0.067125645,0
4,0.076901904,0
5,0.08093905,0
6,0.089377142,0
7,0.092376081,0
8,0.135035139,1
9,0.181333133,1
10,0.196229237,1
11,0.212854544,1
12,0.222590577,1
13,0.265620613,0
14,0.276865305,1
15,0.32938511,1
16,0.390281258,1
17,0.417212785,1
18,0.418226724,0
19,0.431336142,1
20,0.445614716,1
21,0.492564326,0
22,0.49623434,1
23,0.530977799,1
24,0.696642419,0
25,0.731990375,1
26,0.747277311,0
27,0.766851986,0
28,0.788374914,0
29,0.916637389,0
30,0.935782337,1
