Index,x,y,y_hat,se,probs,probsAt95CI,Model,Intercept,Slope,a90,a9095,AIC,Even,Overlap
1,0.007761102,0,-9.653105567,3.242718358,6.42E-05,3.10E-07,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
2,0.013688309,0,-9.435701263,3.171828972,7.98E-05,4.33E-07,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
3,0.016989948,0,-9.314600292,3.132364465,9.01E-05,5.21E-07,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
4,0.024035274,0,-9.056184449,3.048210412,0.000116654,7.75E-07,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
5,0.035452159,0,-8.637423989,2.912024636,0.000177312,1.47E-06,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
6,0.047367963,0,-8.200363656,2.770163584,0.000274478,2.88E-06,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
7,0.057937974,0,-7.812665727,2.644596591,0.000404414,5.22E-06,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
8,0.060519794,0,-7.71796703,2.613969016,0.000444566,6.04E-06,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
9,0.079511206,0,-7.021380139,2.38928364,0.000891797,1.75E-05,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
10,0.079830925,0,-7.009653151,2.385511197,0.000902307,1.79E-05,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
11,0.081299094,0,-6.955802111,2.368192656,0.000952182,1.94E-05,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
12,0.083924427,0,-6.859507399,2.337244064,0.001048331,2.25E-05,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
13,0.096371106,0,-6.402975077,2.190894779,0.001653882,4.51E-05,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
14,0.100937918,0,-6.235468766,2.137371081,0.001954882,5.82E-05,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
15,0.116857381,0,-5.651558036,1.951664057,0.003499749,0.000141685,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
16,0.135242279,0,-4.977217501,1.739320522,0.006846025,0.000394244,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
17,0.139177904,0,-4.832862527,1.694237557,0.007900773,0.00049048,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
18,0.146325056,0,-4.570711804,1.61277319,0.010244552,0.000728723,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
19,0.146410615,0,-4.567573581,1.611801405,0.010276422,0.000732181,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
20,0.152473254,0,-4.345201761,1.543168442,0.012802853,0.001023515,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
21,0.158818364,0,-4.112469174,1.471862863,0.016103736,0.001451844,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
22,0.204857965,0,-2.423780491,0.981261195,0.081377197,0.017330387,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
23,0.218898192,0,-1.908798347,0.848832885,0.129115912,0.035399914,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
24,0.221807284,0,-1.802095625,0.823157841,0.141596157,0.040852777,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
25,0.227782718,0,-1.582922401,0.772824312,0.170381997,0.054469498,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
26,0.229694103,0,-1.512814621,0.757488864,0.180522041,0.059593096,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
27,0.246607596,0,-0.892443819,0.642790907,0.290605767,0.124581627,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
28,0.249384224,0,-0.790599751,0.628405468,0.312039906,0.13892651,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
29,0.256341378,0,-0.535417973,0.599234653,0.369254121,0.179303824,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
30,0.261487369,1,-0.346667928,0.584635244,0.414190672,0.212770227,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
31,0.268645767,1,-0.084104712,0.575128423,0.478986207,0.263063402,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
32,0.268909122,1,-0.074445102,0.575026898,0.481397315,0.264972828,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
33,0.301297191,1,1.113518399,0.687447763,0.752784468,0.49569197,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
34,0.308090719,1,1.362698531,0.735998029,0.79619793,0.537949253,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
35,0.317166069,0,1.695573719,0.809504788,0.844955753,0.590022123,Logit,-9.937775391,36.67904687,0.330842838,0.412617453,23.67345452,0.5,0.166666667
