Index,x,y,a_x_n,profile_pts
15,0.153917693,0,500,500
16,0.166910359,0,500,500
17,0.181461883,0,500,500
18,0.187918014,0,500,500
19,0.191985489,0,500,500
20,0.206296735,0,500,500
21,0.22125183,1,500,500
22,0.22254802,0,500,500
23,0.223172984,0,500,500
24,0.226625926,0,500,500
25,0.234836897,0,500,500
26,0.240048821,0,500,500
27,0.245869667,0,500,500
28,0.247247879,0,500,500
29,0.24864422,1,500,500
30,0.254521076,1,500,500
31,0.259783658,0,500,500
32,0.260924841,1,500,500
33,0.270902464,1,500,500
34,0.283500563,1,500,500
35,0.284831232,1,500,500
36,0.28762478,0,500,500
37,0.291295773,1,500,500
38,0.296634941,0,500,500
39,0.308812298,1,500,500
40,0.319062008,1,500,500
41,0.322503578,1,500,500
42,0.345716849,1,500,500
43,0.356358449,1,500,500
44,0.366939348,1,500,500
