Index,x,y
1,0.022234971,0
2,0.022745137,0
3,0.026003235,0
4,0.026293062,0
5,0.02817289,0
6,0.030496133,0
7,0.053465125,0
8,0.054110508,0
9,0.054785463,0
10,0.063345143,0
11,0.07176211,0
12,0.093373411,0
13,0.103810262,0
14,0.136953244,1
15,0.139388852,0
16,0.142189164,1
17,0.142466501,0
18,0.142477792,0
19,0.148762357,0
20,0.155498601,1
21,0.157212924,0
22,0.171065664,1
23,0.187650054,1
24,0.193648392,1
25,0.197622449,1
26,0.223088529,1
27,0.233865582,1
28,0.236210888,1
29,0.249693164,1
30,0.271628717,1
31,0.272568614,1
32,0.29348324,1
33,0.338979166,1
34,0.342795375,1
35,0.365034161,1
36,0.366922123,1
37,0.367943837,1
38,0.374381622,1
39,0.390562328,1
40,0.394737483,1
41,0.397928552,1
42,0.408037646,1
43,0.447623055,1
44,0.454816201,1
45,0.480937277,1
46,0.48809518,1
47,0.499361004,1
48,0.518959363,1
49,0.522927609,1
50,0.527744778,1
51,0.531962588,1
52,0.581295441,1
53,0.606380491,1
54,0.611075189,1
55,0.620573707,1
56,0.678325963,1
57,0.679967865,1
58,0.74517054,1
59,0.886153072,1
60,0.965205983,1
