Package,License,
abind,LGPL (>= 2),VALID
foreach,Apache License (== 2.0),VALID
iterators,Apache License (== 2.0),VALID
utf8,Apache License (== 2.0) | file LICENSE,VALID
RColorBrewer,Apache License 2.0,VALID
reticulate,Apache License 2.0,VALID(NOT USED)
stringi,BSD,VALID
commonmark,BSD_2_clause + file LICENSE,VALID
colorspace,BSD_3_clause + file LICENSE,VALID
yaml,BSD_3_clause + file LICENSE,VALID
car,GPL (>= 2),VALID
carData,GPL (>= 2),VALID
cluster,GPL (>= 2),VALID
DEoptimR,GPL (>= 2),VALID
digest,GPL (>= 2),VALID
foreign,GPL (>= 2),VALID
gridExtra,GPL (>= 2),VALID
htmltools,GPL (>= 2),VALID
lattice,GPL (>= 2),VALID
lme4,GPL (>= 2),VALID
MatrixModels,GPL (>= 2),VALID
mgcv,GPL (>= 2),VALID
nlme,GPL (>= 2),VALID
pbkrtest,GPL (>= 2),VALID
quadprog,GPL (>= 2),VALID
quantreg,GPL (>= 2),VALID
Rcpp,GPL (>= 2),VALID
robustbase,GPL (>= 2),VALID
SparseM,GPL (>= 2),VALID
Matrix,GPL (>= 2) | file LICENCE,VALID
RcppEigen,GPL (>= 2) | file LICENSE,VALID
pracma,GPL (>= 3),VALID
brew,GPL-2,GONE
cowplot,GPL-2,GONE
glmnet,GPL-2,GONE
markdown,GPL-2,GONE
minqa,GPL-2,GONE
multcomp,GPL-2,GONE
mvtnorm,GPL-2,GONE
numDeriv,GPL-2,GONE
RSSampling,GPL-2,GONE
formula.tools,GPL-2 | file LICENSE,GONE
operator.tools,GPL-2 | file LICENSE,GONE
backports,GPL-2 | GPL-3,VALID
base64enc,GPL-2 | GPL-3,VALID
class,GPL-2 | GPL-3,VALID
codetools,GPL-2 | GPL-3,VALID
diffobj,GPL-2 | GPL-3,VALID
fansi,GPL-2 | GPL-3,VALID
highr,GPL-2 | GPL-3,VALID
knitr,GPL-2 | GPL-3,VALID
logistf,GPL-2 | GPL-3,VALID
MASS,GPL-2 | GPL-3,VALID
mice,GPL-2 | GPL-3,VALID
mime,GPL-2 | GPL-3,VALID
nnet,GPL-2 | GPL-3,VALID
rpart,GPL-2 | GPL-3,VALID
spatial,GPL-2 | GPL-3,VALID
zoo,GPL-2 | GPL-3,VALID
lazyeval,GPL-3,VALID
pkgload,GPL-3,VALID
xlsx,GPL-3,VALID
xlsxjars,GPL-3,VALID
purrr,GPL-3 | file LICENSE,VALID
qqplotr,GPL-3 | file LICENSE,VALID
survival,LGPL (>= 2),VALID
nloptr,LGPL (>= 3),VALID
rJava,LGPL-2.1,VALID
gtable,MIT,(Relicensed in 2020)
stringr,MIT,(Relicensed from GPLv2)
askpass,MIT + file LICENSE,VALID
brio,MIT + file LICENSE,VALID
broom,MIT + file LICENSE,VALID
bslib,MIT + file LICENSE,VALID
cli,MIT + file LICENSE,VALID
corrplot,MIT + file LICENSE,VALID
cpp11,MIT + file LICENSE,VALID
crayon,MIT + file LICENSE,VALID
crosstalk,MIT + file LICENSE,VALID
curl,MIT + file LICENSE,VALID
desc,MIT + file LICENSE,VALID
dplyr,MIT + file LICENSE,VALID
ellipsis,MIT + file LICENSE,VALID
evaluate,MIT + file LICENSE,VALID
farver,MIT + file LICENSE,VALID
fastmap,MIT + file LICENSE,VALID
fs,MIT + file LICENSE,VALID
generics,MIT + file LICENSE,VALID
glue,MIT + file LICENSE,VALID
htmlwidgets,MIT + file LICENSE,VALID
httr,MIT + file LICENSE,VALID
isoband,MIT + file LICENSE,VALID
jsonlite,MIT + file LICENSE,VALID
later,MIT + file LICENSE,VALID
lifecycle,MIT + file LICENSE,VALID
magrittr,MIT + file LICENSE,VALID
munsell,MIT + file LICENSE,VALID
openssl,MIT + file LICENSE,VALID
pillar,MIT + file LICENSE,VALID
pkgconfig,MIT + file LICENSE,VALID
plotly,MIT + file LICENSE,VALID
praise,MIT + file LICENSE,VALID
processx,MIT + file LICENSE,VALID
promises,MIT + file LICENSE,VALID
ps,MIT + file LICENSE,VALID
R6,MIT + file LICENSE,VALID
rematch2,MIT + file LICENSE,VALID
remotes,MIT + file LICENSE,VALID
rlang,MIT + file LICENSE,VALID
roxygen2,MIT + file LICENSE,VALID
rprojroot,MIT + file LICENSE,VALID
scales,MIT + file LICENSE,VALID
sys,MIT + file LICENSE,VALID
testthat,MIT + file LICENSE,VALID
tibble,MIT + file LICENSE,VALID
tidyr,MIT + file LICENSE,VALID
tidyselect,MIT + file LICENSE,VALID
vctrs,MIT + file LICENSE,VALID
viridisLite,MIT + file LICENSE,VALID
waldo,MIT + file LICENSE,VALID
withr,MIT + file LICENSE,VALID
xfun,MIT + file LICENSE,VALID
labeling,MIT + file LICENSE | Unlimited,VALID
data.table,MPL-2.0 | file LICENSE,VALID
base,Part of R 4.1.2,VALID
compiler,Part of R 4.1.2,VALID
datasets,Part of R 4.1.2,VALID
graphics,Part of R 4.1.2,VALID
grDevices,Part of R 4.1.2,VALID
grid,Part of R 4.1.2,VALID
methods,Part of R 4.1.2,VALID
parallel,Part of R 4.1.2,VALID
splines,Part of R 4.1.2,VALID
stats,Part of R 4.1.2,VALID
stats4,Part of R 4.1.2,VALID
tcltk,Part of R 4.1.2,VALID
tools,Part of R 4.1.2,VALID
translations,Part of R 4.1.2,VALID
utils,Part of R 4.1.2,VALID
boot,Unlimited,VALID
KernSmooth,Unlimited,VALID
