SimNum," ""Intercept"""," ""Int_Low_CI"""," ""Int_Up_CI"""," ""Slope"""," ""Sl_Low_CI"""," ""Sl_Up_CI"""," ""a90"""," ""a9095"""," ""AIC"""," ""Iter"""," ""Converged"""," ""Separated"""," ""Uneven"""," ""Uneven_lower"""," ""Overlap"""," ""Case"""," ""Insp"""," ""N""",Model,a50,a25,
1,-2.84475443,-6.023735503,-5.94E-01,22.04905238,9.503876552,42.13318407,0.228671007,0.357709038,34.16639953,8,1,0,0.166666667,0.166666667,0.366666667,2,1,60,Logit,0.129019351,0.107380269,
1,-4.27474231,-7.713731819,-2.00E+00,22.67242794,11.72122529,40.87660249,0.285455396,0.400615679,37.03155272,8,1,0,0.283333333,0.283333333,0.366666667,2,2,60,Logit,0.18854365,0.167499531,
1,-5.503182685,-8.9407218,-3.18E+00,17.49029736,10.14522143,28.2183602,0.440267373,0.554190203,39.27213762,7,1,0,0.5,0.5,0.366666667,2,3,60,Logit,0.314642031,0.287362835,
2,-3.381513524,-6.796943197,-9.65E-01,25.99805125,11.86216091,47.56380047,0.214582934,0.304205369,36.44865458,8,1,0,0.183333333,0.183333333,0.35,2,1,60,Logit,0.130067961,0.111715768,
2,-4.337346086,-7.87085469,-1.95E+00,25.46475065,13.01575681,45.25113086,0.256612396,0.349000823,41.30648454,7,1,0,0.283333333,0.283333333,0.416666667,2,2,60,Logit,0.170327452,0.151590914,
2,-4.894397607,-7.742251257,-2.78E+00,18.48175965,10.47283126,29.37203094,0.383709253,0.492668168,46.63194481,6,1,0,0.5,0.5,0.416666667,2,3,60,Logit,0.264823139,0.239007348,
3,-5.072918119,-9.567742905,-2.00E+00,34.73270792,16.05275837,64.39679677,0.209316898,0.299838504,27.92310068,8,1,0,0.183333333,0.183333333,0.25,2,1,60,Logit,0.146055935,0.132318991,
3,-4.743421489,-8.205518558,-2.38E+00,24.52900922,13.36325518,42.23336057,0.282956641,0.376628414,34.85090498,7,1,0,0.283333333,0.283333333,0.366666667,2,2,60,Logit,0.193380069,0.173928763,
3,-6.584632528,-10.75092886,-3.81E+00,21.14387794,12.48842521,33.9553786,0.415338053,0.500852202,37.63091953,6,1,0,0.5,0.5,0.366666667,2,3,60,Logit,0.311420287,0.28885483,
4,-2.815767097,-5.668485731,-7.41E-01,23.5276,10.89398663,45.68779269,0.213068552,0.336963316,32.01756103,8,1,0,0.166666667,0.166666667,0.2,2,1,60,Logit,0.119679317,0.099400102,
4,-4.886870689,-8.328255521,-2.53E+00,26.39645478,14.86568198,43.53207973,0.268372981,0.345413013,30.54889799,7,1,0,0.283333333,0.283333333,0.2,2,2,60,Logit,0.1851336,0.167058398,
4,-9.197190329,-16.34773688,-4.95E+00,30.67263529,16.6840294,54.39570953,0.371484706,0.454999927,28.95621869,7,1,0,0.5,0.5,0.2,2,3,60,Logit,0.299850021,0.284294747,
5,-2.055969699,-4.419681618,-1.36E-01,18.18369869,8.007510037,32.62210223,0.233901493,0.344902374,38.86729809,7,1,0,0.166666667,0.166666667,0.6,2,1,60,Logit,0.113066639,0.086827684,
5,-3.334811069,-5.927286022,-1.38E+00,19.07275505,9.897719877,32.06203929,0.290049111,0.390319053,45.72857359,7,1,0,0.283333333,0.283333333,0.6,2,2,60,Logit,0.174846846,0.149830992,
5,-3.495646328,-5.670468752,-1.84E+00,12.4973086,6.666431563,20.42711551,0.455527753,0.630442325,57.67844657,6,1,0,0.5,0.5,0.6,2,3,60,Logit,0.279711932,0.241534011,
6,-2.455588707,-5.056828002,-4.31E-01,18.10682588,8.093236727,32.76697863,0.256964601,0.377908922,40.01060068,7,1,0,0.183333333,0.183333333,0.4,2,1,60,Logit,0.135616741,0.109266387,
6,-3.623240525,-6.43737029,-1.55E+00,19.22799737,9.903889955,32.79597509,0.302707817,0.411156838,44.24869702,7,1,0,0.283333333,0.283333333,0.483333333,2,2,60,Logit,0.188435668,0.163621786,
6,-4.953966038,-7.88294724,-2.83E+00,16.76950283,9.558165349,26.9788524,0.426440228,0.549220357,46.06044691,6,1,0,0.5,0.5,0.483333333,2,3,60,Logit,0.2954152,0.266963477,
7,-3.610294965,-7.183966145,-1.21E+00,27.06416554,12.54219588,51.50368365,0.214583359,0.329632101,26.81401942,8,1,1,0.166666667,0.166666667,0.216666667,2,1,60,Logit,0.133397609,0.115768347,
7,-4.994976707,-8.781351709,-2.52E+00,24.49892891,13.4113245,42.91372414,0.293572071,0.390534874,29.56704436,8,1,1,0.283333333,0.283333333,0.216666667,2,2,60,Logit,0.203885514,0.184410325,
7,-11.48665598,-22.61110524,-5.74E+00,33.99580565,17.1623121,66.90490104,0.402516731,0.50373836,24.67562896,9,1,1,0.5,0.5,0.216666667,2,3,60,Logit,0.337884505,0.323849796,
8,-2.392785478,-4.609022139,-6.56E-01,16.29560153,7.875984567,29.03668709,0.281671717,0.421975895,40.6691708,7,1,0,0.216666667,0.216666667,0.5,2,1,60,Logit,0.146836278,0.117557135,
8,-1.903122728,-3.567952516,-5.07E-01,10.67350404,5.317030841,18.03647648,0.384161311,0.566997811,52.58459812,6,1,0,0.283333333,0.283333333,0.666666667,2,2,60,Logit,0.178303463,0.133601999,
8,-3.16929404,-5.031566147,-1.71E+00,9.650097545,5.436695489,15.2547241,0.556110298,0.751548242,57.00990438,5,1,0,0.5,0.5,0.666666667,2,3,60,Logit,0.328420933,0.278978816,
9,-1.778294507,-3.81121697,-8.39E-02,14.94630192,6.614838153,26.96467105,0.265986804,0.410795774,40.77560009,7,1,0,0.183333333,0.183333333,0.45,2,1,60,Logit,0.118978896,0.087056535,
9,-3.0586369,-5.337827605,-1.28E+00,16.72392634,8.791951418,27.69944568,0.314271982,0.429470612,43.60040224,7,1,0,0.283333333,0.283333333,0.533333333,2,2,60,Logit,0.182889881,0.15436062,
9,-4.017075511,-6.548765148,-2.19E+00,13.04754409,7.097052353,21.41848772,0.47628121,0.645856502,49.91231351,6,1,0,0.5,0.5,0.533333333,2,3,60,Logit,0.307879819,0.271311921,
10,-1.472180678,-3.383147177,1.07E-01,12.78833403,5.720043431,23.57969249,0.286933798,0.466896543,37.7406467,7,1,0,0.166666667,0.166666667,0.366666667,2,1,60,Logit,0.115119035,0.077809934,
10,-3.187385272,-5.609633078,-1.43E+00,15.31046511,8.33268507,26.00388146,0.351694727,0.487524637,39.11488611,7,1,0,0.283333333,0.283333333,0.366666667,2,2,60,Logit,0.208183439,0.177020358,
10,-5.066414047,-8.135766077,-2.92E+00,13.82610508,8.200273925,21.78623169,0.525356822,0.652615873,41.39723981,6,1,0,0.5,0.5,0.366666667,2,3,60,Logit,0.366438272,0.331929547,
11,-2.436784574,-4.715013644,-6.95E-01,19.61806906,10.05717072,34.06022062,0.236211277,0.342081777,32.26015853,7,1,0,0.183333333,0.183333333,0.3,2,1,60,Logit,0.124211234,0.099890734,
11,-3.673282865,-6.398188152,-1.74E+00,19.4360968,10.96569118,32.0947966,0.30204148,0.394291345,36.64886383,7,1,0,0.283333333,0.283333333,0.366666667,2,2,60,Logit,0.188992826,0.164444623,
11,-7.180907964,-12.28142394,-3.94E+00,23.07350319,12.97513348,38.81760025,0.406445977,0.49427524,36.62825479,7,1,0,0.5,0.5,0.366666667,2,3,60,Logit,0.3112188,0.290540481,
12,-2.026782596,-4.182729166,-2.67E-01,14.80589649,6.954121963,26.16277359,0.285292226,0.418441292,40.40732113,7,1,0,0.183333333,0.183333333,0.516666667,2,1,60,Logit,0.136890231,0.104665148,
12,-3.176362327,-5.528250634,-1.37E+00,15.74520382,8.548759305,25.93825924,0.341284048,0.454914013,44.76693072,6,1,0,0.283333333,0.283333333,0.65,2,2,60,Logit,0.201735231,0.17143259,
12,-4.799580163,-7.632821508,-2.72E+00,14.79111431,8.583250071,23.27099765,0.473041084,0.592960495,48.88758429,6,1,0,0.5,0.5,0.65,2,3,60,Logit,0.324490776,0.292233487,
13,-1.487741515,-3.560522226,2.73E-01,14.85970904,6.039545328,27.2342968,0.247983731,0.388967921,42.152978,7,1,0,0.166666667,0.166666667,0.35,2,1,60,Logit,0.100119155,0.06801077,
13,-3.837828171,-6.823705021,-1.71E+00,21.97446203,11.58035844,37.30783207,0.274639386,0.365473247,42.13703627,7,1,0,0.283333333,0.283333333,0.35,2,2,60,Logit,0.174649471,0.152936937,
13,-4.740309952,-7.523655655,-2.67E+00,17.32213439,9.79749708,27.64586904,0.400501138,0.515517653,48.06307911,6,1,0,0.5,0.5,0.35,2,3,60,Logit,0.273656228,0.246112205,
14,-1.943415751,-4.164191196,-1.33E-01,20.21607089,8.881512178,37.39261238,0.204819243,0.321833982,36.94660297,7,1,0,0.166666667,0.166666667,0.583333333,2,1,60,Logit,0.096132219,0.072531132,
14,-3.148557576,-5.476869642,-1.35E+00,20.23561584,10.68341086,33.4590642,0.264176895,0.360800893,42.47253607,7,1,0,0.283333333,0.283333333,0.583333333,2,2,60,Logit,0.155594848,0.132016557,
14,-3.830485687,-6.177192682,-2.13E+00,14.43778515,8.096049733,23.57688354,0.417495495,0.565064492,50.39370637,6,1,0,0.5,0.5,0.583333333,2,3,60,Logit,0.265309786,0.232263079,
15,-3.133043246,-6.231828351,-7.76E-01,23.10225185,10.56083045,41.36766007,0.230725033,0.323048521,35.48937828,8,1,0,0.166666667,0.166666667,0.35,2,1,60,Logit,0.135616358,0.114963771,
15,-5.787221662,-10.40371212,-2.80E+00,30.20625276,15.87400624,53.16463379,0.264330909,0.339123558,35.82688678,8,1,1,0.283333333,0.283333333,0.35,2,2,60,Logit,0.191590189,0.175794742,
15,-7.671291837,-12.69226863,-4.35E+00,27.39320592,15.41791025,45.34878747,0.360254161,0.441159646,35.83224051,7,1,0,0.5,0.5,0.35,2,3,60,Logit,0.280043594,0.262626091,
16,-3.141508252,-6.180175783,-9.81E-01,19.88235137,9.159515554,37.74138963,0.268516169,0.417252649,31.40969066,8,1,0,0.183333333,0.183333333,0.316666667,2,1,60,Logit,0.158004865,0.134007641,
16,-3.710326147,-6.411742549,-1.72E+00,16.41547119,8.707159182,27.64469719,0.359877012,0.494049087,36.64813625,7,1,0,0.283333333,0.283333333,0.416666667,2,2,60,Logit,0.226026174,0.196960834,
16,-5.417062513,-8.911987822,-3.09E+00,13.84474029,7.888929194,22.98575883,0.549976881,0.713696554,37.14806987,7,1,0,0.5,0.5,0.416666667,2,3,60,Logit,0.391272238,0.356809962,
17,-2.394686332,-5.130809377,-4.30E-01,19.93220536,8.840979997,38.49647501,0.23037646,0.377005741,33.60712441,8,1,1,0.166666667,0.166666667,0.3,2,1,60,Logit,0.120141564,0.096204361,
17,-3.78571191,-6.558385591,-1.81E+00,20.03732821,10.86126187,34.57451223,0.298589534,0.413231681,36.00789058,8,1,1,0.283333333,0.283333333,0.3,2,2,60,Logit,0.188932969,0.165121349,
17,-6.732409743,-11.42809584,-3.80E+00,20.55727219,11.86654306,34.29718674,0.434378367,0.530288196,33.72627531,7,1,1,0.5,0.5,0.3,2,3,60,Logit,0.327495286,0.30428592,
18,-3.228185553,-6.31596767,-8.96E-01,24.90110305,11.60550415,44.89226343,0.217878305,0.309628408,33.62047198,8,1,0,0.166666667,0.166666667,0.483333333,2,1,60,Logit,0.129640263,0.110479616,
18,-5.101391639,-8.904242805,-2.50E+00,27.61417563,14.8706768,46.99942547,0.264306866,0.340175918,36.11146571,7,1,0,0.283333333,0.283333333,0.483333333,2,2,60,Logit,0.184738147,0.167460019,
18,-6.420282472,-10.50844222,-3.68E+00,22.94293873,13.17340782,37.71849106,0.37560607,0.467484435,39.67858212,7,1,0,0.5,0.5,0.483333333,2,3,60,Logit,0.279836971,0.259040975,
19,-3.223981622,-6.219356291,-1.02E+00,23.77922877,11.76681853,42.40658971,0.227980741,0.320164204,30.24938837,8,1,0,0.166666667,0.166666667,0.333333333,2,1,60,Logit,0.135579739,0.115515116,
19,-5.627398128,-9.984861415,-2.81E+00,27.77376587,15.24744514,47.66362013,0.281727107,0.35467414,31.70721624,7,1,0,0.283333333,0.283333333,0.333333333,2,2,60,Logit,0.202615596,0.18543675,
19,-9.854556943,-17.43793495,-5.26E+00,32.53212374,17.44974779,57.2147995,0.370457878,0.447207933,30.96953808,8,1,0,0.5,0.5,0.333333333,2,3,60,Logit,0.302917726,0.288251568,
20,-1.952373499,-4.054051833,-2.50E-01,15.21310842,7.202413147,26.89985991,0.272764642,0.404408314,39.29394043,7,1,0,0.183333333,0.183333333,0.416666667,2,1,60,Logit,0.128334949,0.09697244,
20,-2.964282416,-5.223026719,-1.24E+00,15.39687382,8.283491813,25.45938447,0.335230843,0.453880178,44.7230745,6,1,0,0.283333333,0.283333333,0.5,2,2,60,Logit,0.192524954,0.161536763,
20,-4.724579708,-7.587784777,-2.69E+00,14.86897706,8.652017317,23.84203717,0.465519871,0.593307727,47.07867443,6,1,0,0.5,0.5,0.5,2,3,60,Logit,0.317747461,0.28565909,
21,-3.379621858,-6.43533653,-1.14E+00,21.37321507,10.68417766,37.71965411,0.260926885,0.356152061,34.12359426,8,1,1,0.183333333,0.183333333,0.366666667,2,1,60,Logit,0.158124168,0.135800842,
21,-4.329510691,-7.389870179,-2.07E+00,20.40720519,11.24182701,33.45135405,0.319825043,0.406554581,40.17832969,7,1,0,0.283333333,0.283333333,0.4,2,2,60,Logit,0.212155984,0.188775945,
21,-7.47041465,-12.51444973,-4.11E+00,23.60627015,13.11084242,39.15357884,0.409536923,0.496197151,39.92266398,7,1,1,0.5,0.5,0.4,2,3,60,Logit,0.316458916,0.296247283,
22,-0.723640362,-2.318171599,7.49E-01,8.828668822,3.350773166,16.5192521,0.330838657,0.56379529,45.6740235,6,1,0,0.166666667,0.166666667,0.816666667,2,1,60,Logit,0.081964833,0.027922568,
22,-1.874299035,-3.502430298,-4.88E-01,9.836449335,4.997455431,16.24506554,0.413922084,0.59132012,53.78049497,6,1,0,0.283333333,0.283333333,0.816666667,2,2,60,Logit,0.190546301,0.142040866,
22,-6.289243647,-10.40727059,-3.59E+00,19.14091663,11.17380927,31.40625562,0.443367911,0.546167781,36.71428755,7,1,0,0.483333333,0.483333333,0.35,2,3,60,Logit,0.328575886,0.303649115,
23,-2.627866136,-5.299021876,-6.09E-01,22.13557226,10.12893484,41.3834026,0.217979037,0.33717114,32.29287698,8,1,0,0.166666667,0.166666667,0.3,2,1,60,Logit,0.118716883,0.09716238,
23,-4.39282467,-7.620163782,-2.14E+00,23.74515594,12.8696135,40.00291817,0.277532363,0.367327341,33.65963944,8,1,0,0.283333333,0.283333333,0.3,2,2,60,Logit,0.184998771,0.164905357,
23,-6.578811501,-11.2105709,-3.67E+00,21.55844523,11.99830147,36.84614821,0.407081122,0.517852798,34.48344685,7,1,0,0.5,0.5,0.3,2,3,60,Logit,0.305161686,0.283030162,
24,-1.390243118,-3.217412022,2.06E-01,11.3168343,4.948788431,20.01837213,0.317002759,0.479180421,45.07113293,7,1,0,0.183333333,0.183333333,0.583333333,2,1,60,Logit,0.122847351,0.08068704,
24,-2.46490997,-4.435086468,-8.68E-01,12.39768498,6.496294767,20.34310882,0.376048799,0.512405729,50.88822512,6,1,0,0.283333333,0.283333333,0.65,2,2,60,Logit,0.198820181,0.160335475,
24,-4.045842803,-6.434079776,-2.22E+00,12.3198505,6.988656325,19.35402714,0.506748632,0.650677158,55.37484325,6,1,0,0.5,0.5,0.65,2,3,60,Logit,0.328400317,0.289672472,
25,-3.071661224,-5.932438392,-8.68E-01,21.73964479,10.17449712,39.14700589,0.242363012,0.348441459,36.7709738,7,1,0,0.183333333,0.183333333,0.4,2,1,60,Logit,0.141293073,0.119346015,
25,-4.066874064,-6.990418343,-1.90E+00,21.36090413,11.44800396,35.50972511,0.293250632,0.386408058,40.97717268,7,1,0,0.283333333,0.283333333,0.5,2,2,60,Logit,0.190388667,0.168052475,
25,-5.522665874,-8.820118276,-3.20E+00,18.65022523,10.8837774,30.01137835,0.413930146,0.519608188,43.26708548,6,1,0,0.5,0.5,0.5,2,3,60,Logit,0.296117919,0.270535318,
26,-0.981947429,-3.014812131,7.64E-01,8.978101126,2.896385418,17.87045601,0.35410294,0.659367722,46.79190686,7,1,0,0.166666667,0.166666667,0.6,2,1,60,Logit,0.109371393,0.056228613,
26,-2.524969603,-4.662460795,-8.05E-01,11.62261739,5.573999168,20.02431449,0.406293524,0.588272704,52.40072859,6,1,0,0.283333333,0.283333333,0.6,2,2,60,Logit,0.217246212,0.17619511,
26,-3.080261967,-4.977603524,-1.57E+00,8.48225721,4.429375043,13.82249117,0.622179499,0.884959662,60.95934562,5,1,0,0.5,0.5,0.6,2,3,60,Logit,0.363141778,0.306892452,
27,-1.910398093,-4.067033299,-1.49E-01,16.73232605,7.591014099,30.63995109,0.245490236,0.38079698,36.79110727,7,1,0,0.166666667,0.166666667,0.333333333,2,1,60,Logit,0.11417409,0.085659151,
